"ID","category","names","tags","comment","how many people have commented","introduction","字段1"
11,"visit","レインボーブリッジ","landmark,nightview,famous palce",4.24,376.00,"「レインボーブリッジ」の名前は「虹の橋」という意味で、一般公募により決められた愛称であり、正式名称は「東京港連絡橋」である。","8F6FC87AAD384F37AE3215F6EAF69C5B_LL.jpg"
12,"visit","ダイバーシティ東京 プラザ","landmark,famous palce",4.08,297.00,"ダイバーシティ東京（ダイバーシティとうきょう、DiverCity Tokyo）は、東京都江東区青海にある複合商業施設およびオフィスビル，2Fフェスティバル広場には実物大ガンダム(RG1/1 RX-78-2 ガンダム Ver.GFT)が展示されており、一定の時間帯にて演出が行われている。夜間の演出では実機のライトアップに加え、横の大型ビジョンに特別映像が放映される。","photo02.jpg"
13,"visit","フジテレビ本社ビル","nightview,landmark",3.98,248.00,"25階の球体展望室「はちたま」からは、地上100ｍから望む、臨海パノラマの絶景がご覧いただけます。またその下、24階には「めざましテレビ アクア」「めざましテレビ」のスタジオ、「めざまスカイ」がございます。 （24階・25階への入場は有料です。）","0102_02.jpg"
14,"visit","自由の女神像","landmark,famous palce",3.79,131.00,"東京台場には、パリの自由の女神像が、日本におけるフランス年事業の一環として1998年4月29日から1999年5月9日まで設置されていた。この事業に関しては、1998年4月28日に点火式が行われ、フランスのジャック・シラク大統領、橋本龍太郎首相（当時）などが参加した。この事業が好評を博したため、その後、フランス政府からレプリカの制作が認められフランスのクーベルタン鋳造所にて複製されたブロンズ製のレプリカが2000年に設置された。このフランス政府公認のレプリカは「台場の女神」という別名で呼ばれることも多い。","4a4d4_0003671674_1.jpg"
15,"visit","お台場海浜公園 展望デッキ","famous palce,night view",3.41,36.00,"お台場海浜公園（おだいばかいひんこうえん）は、東京都港区台場にある旧防波堤と台場公園に囲まれている入り江を利用した海浜公園である。潮風公園、台場公園と隣接する。0","site1752-00.jpg"
16,"shopping","ダイバーシティ東京プラザ","mall,women,men",4.08,297.00,"東京（ダイバーシティとうきょう、DiverCity Tokyo）は、東京都江東区青海にある複合商業施設およびオフィスビル，2Fフェスティバル広場には実物大ガンダム(RG1/1 RX-78-2 ガンダム Ver.GFT)が展示されており、一定の時間帯にて演出が行われている。夜間の演出では実機のライトアップに加え、横の大型ビジョンに特別映像が放映される。","photo02.jpg"
17,"shopping","アクアシティお台場","mall,women",3.83,130.00,"13の映画館が集まったシネコンがあるエンターテインメント施設。館内にはキャラクターグッズを扱うショップ、専用デッキを備えた個性的なレストランなど約150店がそろっています。ゆったりとショッピングや食事が楽しめるようキッズコーナー（託児所・赤ちゃん休憩室）なども完備しているのがうれしい。","lm_194IMG1.jpg"
18,"shopping","ヴィーナスフォート","mall,women",3.76,146.00,"「女性のためのテーマパーク」と銘打ったテーマパーク型ショッピングモールである。2010年までは株式会社ヴィーナスフォート（森ビルとエスシステムがそれぞれ50%出資して設立した合弁会社）が運営を行っていた。現在は、森ビルが運営している。館内の音響は、BOSE社のBMS（ビジネスミュージックシステム）を採用し。","c39226ad63e553acc609b9ee74a1ec357135f0b3.jpeg"
19,"shopping","デックス東京ビーチ","mall,women",3.48,83.00,"デックス東京ビーチ（デックスとうきょうビーチ、英称：DECKS Tokyo Beach）は、東京都港区台場に存在する都市型のショッピングモールである，名称の由来はデッキボード張りのオープンテラスから。","mod_ogp.jpg"
20,"shopping","台場一丁目商店街","market,women",3.44,63.00,"台場一丁目商店街（だいばいっちょうめしょうてんがい）は、東京都港区台場のデックス東京ビーチにあるテーマゾーン。昭和30年代をイメージしたレトロな町並みを再現した商店街で、いわゆるレトロテーマパークの一つである。","33.jpg"
21,"food","bills お台場","western food,dessert",3.59,102.00,"世界一の朝食、と言われたお店のお台場のビルズです。都内にもふと気がつけば何店舗かありますね。（Collected by reviewers of the 4travel.jp）","313894.jpg"
22,"food","エッグスンシングスお台場","western food,desert",3.41,36.00,"ハワイアンガーリックライスについては、スパイシーなものが食べたくて注文したしたのですが、ココナッツ風味の甘いご飯でした。好みが分かれるところですね。（Collected by reviewers of the 4travel.jp）","pic-odaiba.jpg"
23,"food","スターバックスコーヒーアクアシティお台場","coffee,dessert",3.37,25.00,"Famous coffee shop in the world chain","5f9e2_0004408703_1.JPG"
24,"food","お台場たこ焼きミュージアム","japanese snacks",3.37,36.00,"お台場のデックス東京ビーチにある「たこ焼き店」が並ぶフードコートです。たこ焼きの本場?大阪で人気のお店、有名なお店が集まっているだけあってフードコート内はかなり混雑していました。たこ焼きの食べ比べなどをすることもできるので食事やおやつなどで立ち寄ってみると良いです。","7054.jpg"
25,"food","クアアイナ　アクアシティお台場","western food, salad",3.35,26.00,"大好きなハンバーガー屋さんのひとつクアアイナ。ハワイからきています。狙いはハンバーガーよりもパストラミのサンドイッチです。が、今回はサラダとポテトにしてみました。さすがにコブサラダだけではまだ足りない。ポテトとセットでイイ感じ。
（Collected by reviewers of the 4travel.jp）","photo1jpg.jpg"
